"from","to","mins"
3,159,8
3,253,14
3,447,17
3,498,10
3,694,7
3,751,7
3,859,20
3,908,7
14,18,21
14,99,6
14,441,8
14,520,7
14,544,16
14,653,6
14,998,24
15,120,5
15,160,6
15,162,10
15,178,75
15,259,10
15,261,18
15,295,14
15,353,8
15,372,11
15,464,6
15,491,8
15,498,7
15,909,11
15,1090,13
18,39,6
18,99,7
18,429,6
18,488,8
18,527,6
18,621,8
18,650,218
18,753,5
18,797,50
18,845,14
27,99,11
27,160,8
27,259,8
27,295,10
27,346,7
27,1392,13
34,156,10
34,250,30
34,259,9
34,489,5
34,615,28
34,694,13
34,884,38
34,959,25
38,219,23
38,435,79
39,71,24
39,72,5
39,99,5
39,118,8
39,219,108
39,339,66
39,407,315
39,468,71
39,871,102
39,939,17
43,285,17
43,339,8
43,809,5
43,866,31
43,985,13
47,118,10
47,366,116
47,691,32
54,74,12
54,134,21
54,158,47
54,236,23
55,110,38
55,164,8
55,447,13
55,634,6
55,985,82
55,1245,72
59,285,12
59,790,16
59,793,22
59,866,20
59,889,20
63,122,159
63,257,8
63,285,61
63,866,10
71,147,79
71,215,65
71,387,60
71,426,22
71,429,11
71,580,7
71,603,9
71,649,16
71,784,21
71,954,14
71,1245,22
71,1323,10
71,1392,7
72,162,10
72,219,12
72,261,6
72,401,7
72,706,7
72,753,6
72,866,9
72,923,12
72,1323,7
74,77,6
74,79,5
74,122,10
74,141,7
74,158,10
74,159,93
74,193,8
74,215,13
74,250,9
74,333,75
74,372,5
74,453,5
74,489,12
74,498,21
74,763,9
74,884,12
74,985,10
77,97,12
77,122,7
77,159,55
77,162,28
77,215,12
77,220,16
77,259,9
77,346,14
77,429,8
77,603,5
77,649,6
77,1204,8
77,1342,7
79,134,11
79,156,16
79,162,38
79,295,14
79,447,25
80,211,11
80,339,16
80,466,9
80,582,51
80,889,222
80,894,21
80,923,6
80,954,8
89,97,47
89,220,17
89,343,5
89,720,49
97,118,10
97,120,8
97,220,102
97,353,6
97,378,5
97,720,67
97,741,6
97,886,25
97,1204,30
99,120,21
99,122,10
99,141,13
99,147,6
99,160,12
99,183,51
99,259,21
99,275,10
99,295,6
99,333,9
99,413,18
99,582,52
99,603,9
99,649,6
99,1067,31
99,1164,236
106,245,5
106,435,19
106,440,6
110,164,19
110,173,10
110,970,54
117,475,30
117,520,9
117,603,6
117,653,9
117,694,9
117,706,50
117,874,6
117,1414,20
118,339,5
118,447,5
118,468,8
118,954,14
118,1485,7
119,198,35
119,267,33
119,270,61
119,366,434
119,420,37
119,478,10
119,491,10
119,520,5
119,525,13
119,836,10
120,178,8
120,211,18
120,236,14
120,333,20
120,464,5
120,720,6
120,763,13
120,1090,8
122,141,49
122,215,7
122,407,14
122,426,8
122,440,11
122,939,5
131,134,6
131,156,5
131,160,12
131,183,6
131,642,32
131,880,7
131,884,5
134,156,13
134,193,26
134,372,10
141,159,13
141,200,22
141,295,23
141,333,24
141,460,13
141,489,6
141,884,13
141,909,28
147,215,27
147,333,5
147,346,10
147,387,19
147,401,47
147,426,31
147,429,69
147,525,6
147,580,7
147,603,7
147,649,21
147,725,7
147,753,14
147,954,6
147,1245,73
147,1392,87
156,158,11
156,159,9
156,183,21
156,193,18
156,205,22
156,250,8
156,261,20
156,333,9
156,353,6
156,447,23
156,642,16
156,694,11
156,751,7
156,859,30
156,1204,7
156,1342,19
158,236,12
158,322,12
158,447,11
158,656,7
159,162,26
159,210,7
159,259,11
159,333,17
159,428,15
159,489,17
159,763,22
159,884,17
159,1342,25
160,178,11
160,193,19
160,259,21
160,295,6
160,642,12
160,880,25
160,884,67
160,959,26
160,1209,9
160,1392,8
162,210,26
162,259,24
162,261,8
162,372,99
162,464,9
162,491,17
162,751,8
162,1342,6
164,628,8
164,970,14
164,985,24
165,498,43
165,751,7
172,184,33
172,248,7
172,322,9
172,366,70
172,477,8
172,486,13
172,510,32
172,513,50
172,577,19
172,743,67
172,867,94
172,893,7
172,1485,7
173,445,6
173,741,22
173,836,8
173,970,7
178,242,6
178,261,9
178,642,27
178,751,6
178,884,8
181,428,18
181,778,14
181,998,18
181,1260,93
183,220,14
183,250,5
183,413,25
183,582,64
183,615,8
183,642,50
183,1067,66
183,1164,46
183,1238,22
184,322,8
184,424,6
184,486,6
184,510,33
184,513,5
184,634,5
184,743,9
184,893,48
184,921,5
184,1260,5
193,250,37
193,372,6
193,615,25
193,884,18
193,959,30
193,1067,5
197,353,85
197,502,8
197,741,10
197,998,6
198,253,40
198,267,227
198,270,10
198,343,15
198,366,139
198,420,20
198,445,20
198,478,54
198,491,5
198,525,72
198,660,13
198,691,19
198,706,6
198,836,27
198,889,9
200,236,6
200,378,19
200,401,12
200,424,11
200,461,9
200,488,44
200,634,32
200,779,9
200,874,8
200,921,30
200,1090,12
200,1414,16
205,372,28
205,615,84
205,1067,5
210,275,11
210,424,8
210,428,28
210,487,7
210,603,29
210,694,11
210,859,11
211,246,6
211,793,12
211,889,8
211,894,25
213,253,42
213,270,32
213,428,6
213,520,10
213,836,7
215,295,8
215,346,10
215,387,36
215,401,31
215,426,25
215,580,30
215,603,14
215,725,31
215,741,16
215,954,14
215,1245,13
215,1323,49
219,702,5
219,753,10
220,574,7
220,649,6
220,656,7
220,691,9
220,720,62
220,1238,19
222,252,10
222,275,17
222,882,16
222,1485,7
232,272,87
232,374,10
232,424,43
232,531,10
232,650,8
232,744,21
232,797,17
232,845,87
236,401,13
236,763,19
236,1090,5
242,489,22
242,884,79
245,435,8
245,440,21
246,248,7
246,374,15
246,407,7
246,466,9
246,468,6
246,477,28
246,702,5
246,753,18
246,793,37
246,836,7
246,866,5
246,871,16
246,1362,8
246,1485,7
248,285,23
248,322,86
248,466,14
248,504,23
248,527,58
248,638,6
248,743,42
248,893,18
248,1485,64
250,615,8
250,660,16
250,884,16
250,959,17
252,267,17
252,275,74
252,322,32
252,424,8
252,882,49
252,908,8
253,267,52
253,270,15
253,428,16
253,478,20
253,520,10
253,691,13
253,859,14
257,285,15
257,339,11
257,706,8
257,866,9
259,261,26
259,372,20
259,464,7
259,491,8
259,615,51
259,653,7
259,959,60
259,1067,6
261,295,5
261,353,23
261,372,8
261,642,8
261,694,5
261,884,11
261,1067,15
267,343,5
267,366,83
267,420,21
267,445,23
267,478,43
267,487,12
267,525,82
267,603,30
267,660,30
267,691,40
267,836,38
269,1485,14
270,275,8
270,290,15
270,343,35
270,428,9
270,475,18
270,520,61
270,660,25
270,691,7
270,836,14
270,886,12
272,531,18
272,603,55
272,650,6
272,743,8
272,744,13
272,797,15
272,845,122
272,1245,65
272,1414,5
272,1485,6
275,322,22
275,504,10
275,520,6
275,527,22
275,836,6
275,845,18
275,882,53
275,908,34
275,1485,28
285,468,27
285,626,32
285,642,6
285,790,29
285,793,21
285,866,166
285,939,18
290,428,20
290,603,11
290,649,6
290,694,12
290,859,16
295,447,6
295,694,6
295,859,6
295,909,61
322,465,77
322,468,64
322,504,25
322,510,8
322,513,22
322,527,49
322,634,107
322,674,16
322,743,35
322,845,5
322,867,46
322,882,10
322,893,30
322,908,30
322,921,6
322,939,5
322,1164,5
322,1485,27
333,447,13
333,489,6
333,656,16
333,763,34
333,1245,11
339,468,69
339,531,9
339,866,9
339,939,7
339,954,8
343,353,10
343,366,11
343,420,6
343,428,8
343,445,6
343,486,13
343,660,18
343,691,18
346,401,8
346,440,19
346,603,74
346,628,5
346,649,20
346,779,48
346,954,7
346,1362,52
346,1392,6
353,425,7
353,460,9
353,884,10
366,420,34
366,445,6
366,478,56
366,525,89
366,656,5
366,660,10
366,836,6
372,491,101
372,642,13
372,694,9
372,751,6
372,859,29
372,1204,18
374,527,21
378,656,27
378,741,74
378,886,19
378,1492,73
387,401,6
387,426,250
387,525,28
387,580,32
387,603,7
387,649,11
387,725,17
387,1245,13
387,1323,8
387,1392,235
401,424,6
401,426,6
401,429,8
401,580,24
401,603,15
401,634,14
401,649,19
401,779,49
401,882,11
401,954,13
401,1245,27
401,1392,19
407,468,28
407,706,30
407,790,7
407,871,16
407,923,30
407,939,17
407,1362,5
413,461,5
413,650,28
413,1067,11
420,478,7
420,525,19
420,603,7
420,836,18
424,486,6
424,504,21
424,510,40
424,513,37
424,577,6
424,634,8
424,908,69
424,921,29
424,1485,28
425,498,14
426,429,5
426,440,5
426,488,10
426,649,7
426,882,103
426,921,7
426,1245,19
428,475,11
428,478,26
428,488,9
428,520,23
428,603,15
428,691,12
428,694,12
428,836,23
428,859,23
428,894,13
429,435,42
429,488,9
429,580,14
429,649,39
429,753,16
429,954,15
429,1245,41
432,653,33
432,977,22
432,998,7
435,440,25
435,478,17
435,720,7
435,753,11
435,921,21
441,527,20
445,691,7
445,836,12
447,763,5
453,859,11
460,615,16
460,741,10
460,880,7
460,909,30
460,1067,9
461,626,15
461,874,25
461,1362,8
461,1414,20
464,1342,8
465,504,5
465,527,17
465,634,37
465,882,10
465,1485,5
466,533,8
466,753,16
466,923,10
466,939,44
468,753,7
468,871,8
468,939,26
468,954,5
468,1485,7
475,1414,33
477,504,20
477,634,13
477,638,5
477,882,7
477,908,8
478,691,8
478,836,125
486,510,40
486,525,6
486,527,6
486,577,9
486,638,8
486,1485,8
487,603,175
487,649,5
488,580,10
488,621,13
488,634,20
488,649,7
488,882,102
488,894,45
488,921,59
488,1090,35
489,763,19
489,884,11
491,1090,6
496,874,23
496,1414,7
498,909,6
502,998,9
504,510,24
504,513,11
504,527,70
504,577,9
504,634,13
504,867,7
504,1485,5
510,513,10
510,527,12
510,577,26
510,634,14
510,638,5
510,743,8
510,867,8
510,893,16
510,921,7
510,1485,54
513,634,6
513,867,47
520,691,9
520,882,17
525,582,20
525,649,12
525,660,19
525,753,7
525,889,39
525,1204,11
527,634,5
527,638,11
527,867,35
527,1485,9
531,650,22
531,845,6
533,939,14
544,778,18
544,998,16
574,642,11
577,1090,12
577,1485,28
580,1090,31
582,649,5
582,1067,45
582,1164,44
603,649,71
603,691,14
603,694,9
603,706,9
603,725,13
603,779,56
603,859,15
603,954,38
603,1245,13
603,1323,8
603,1362,9
603,1392,6
615,642,8
615,753,22
615,880,5
615,884,8
615,1067,42
615,1342,18
621,882,9
634,674,38
634,790,7
634,882,29
634,908,28
634,921,6
634,1090,31
638,867,58
638,1485,45
642,751,37
642,880,14
642,884,7
642,1067,5
642,1342,12
649,691,22
649,725,11
649,779,6
649,889,7
649,1067,8
649,1245,18
650,845,8
650,882,6
656,741,5
656,886,26
656,1209,75
656,1492,92
660,939,9
677,1164,66
691,706,44
691,908,15
694,859,105
694,909,18
694,1067,7
702,871,6
706,908,8
706,923,108
720,741,5
720,836,8
720,1067,13
720,1164,7
720,1204,41
720,1209,9
741,886,6
741,1209,29
743,893,11
744,845,101
751,809,28
751,1204,8
753,790,5
753,809,31
753,908,20
763,884,8
771,921,9
771,1485,7
778,998,14
778,1209,32
778,1260,19
778,1485,10
779,1362,6
784,809,15
784,894,6
793,866,33
793,939,39
797,845,16
809,939,21
845,908,12
859,909,5
866,939,21
866,985,20
867,1485,21
874,977,32
874,1414,34
880,884,60
880,1342,14
882,921,78
882,954,18
882,1485,13
884,959,23
886,985,49
886,1204,22
886,1209,65
886,1492,28
889,939,25
893,1485,6
894,939,14
909,921,6
921,1485,5
985,1209,20
998,1260,31
1067,1164,42
1067,1342,74
1209,1342,7
1209,1492,6
1245,1362,6
1245,1392,11
1362,1392,9
